Name,Company,City/Region
Abbotsford Animal Hospital,NVA,"Aurora, Ont."
Algonquin Animal Hospital,NVA,Ottawa
Allandale Veterinary Hospital,NVA,"Barrie, Ont."
Alpine Veterinary Medical Centre,NVA,Whitehorse
Anderson Veterinary Clinic,NVA,"Penticton, B.C."
Animal Care Hospital of Quesnel,NVA,"Quesnel, B.C."
Animal Care Hospital of Williams Lake,NVA,"Williams Lake, B.C."
Animal Emergency Clinic of the Fraser Valley,NVA,"Langley, B.C."
Animal Hospital Gravenhurst,NVA,"Gravenhurst, Ont."
Atlantic Veterinary Hospital,NVA,"Rothesay, N.B."
Baccalieu Trail Animal Hospital,NVA,"Bay Roberts, N.L."
Basinview Animal Hospital,NVA,"Bedford, N.S."
Bathurst Animal Hospital,NVA,Toronto
Bayridge Animal Hospital,NVA,"Kingston, Ont."
Baywood Animal Hospital,NVA,"Midhurst, Ont."
Beattie Animal Hospital – Brantford,NVA,"Brantford, Ont."
Beattie Pet Hospital – Ancaster,NVA,"Ancaster, Ont."
Beattie Pet Hospital – Burlington,NVA,"Burlington, Ont."
Beattie Pet Hospital – Stoney Creek,NVA,"Stoney Creek, Ont."
Beattie Pet Hospital – East Hamilton,NVA,Hamilton
Bedford Cat Clinic,NVA,"Bedford, N.S."
Berwick Animal Hospital,NVA,"Berwick, N.S."
Big Bay Animal Hospital,NVA,"Barrie, Ont."
Billings Bridge Animal Hospital,NVA,Ottawa
Blenheim Veterinary Hospital,NVA,"Blenheim, Ont."
Blue Cross Animal Hospital,NVA,Toronto
Bowen Veterinary Services,NVA,"Bowen Island, B.C."
Bowmanville Veterinary Clinic,NVA,"Bowmanville, Ont."
Bracebridge Animal Hospital,NVA,"Bracebridge, Ont."
Brack Animal Hospital,NVA,"Windsor, Ont."
Burnside Veterinary Hospital,NVA,"Dartmouth, N.S."
Burtch Animal Hospital,NVA,"Kelowna, B.C."
Carnegy Animal Hospital,NVA,Halifax
Cassells Animal Hospital,NVA,"North Bay, Ont."
Cat Clinic,NVA,Hamilton
Central Langley Pet Hospital,NVA,"Langley, B.C."
Central Nova Animal Hospital,NVA,"Truro, N.S."
Central Toronto Veterinary Referral Clinic,NVA,Toronto
Central Valley Veterinary Hospital,NVA,"Kelowna, B.C."
Chatham Kent Veterinary Hospital,NVA,"Chatham, Ont."
Chelmsford Animal Hospital,NVA,"Chelmsford, Ont."
City Centre Animal Hospital,NVA,"Airdrie, Alta."
Coast Mountain Veterinary Services,NVA,"Whistler, B.C."
Cornwall Veterinary Clinic,NVA,"Cornwall, P.E.I."
Cumberland Veterinary Hospital,NVA,"Orleans, Ont."
Dissette Animal Hospital,NVA,"Bradford, Ont."
Douglas Animal Hospital,NVA,Fredericton
Eagleview Veterinary Hospital,NVA,"Squamish, B.C."
East River Animal Hospital,NVA,"New Glasgow, N.S."
Egan Animal Hospital,NVA,"Chatham, Ont."
Eglinton Veterinary Facilities,NVA,Toronto
Elk Lake Veterinary Hospital,NVA,Victoria
Ellwood Park Animal Hospital,NVA,"Abbotsford, B.C."
Fairfield Animal Hospital,NVA,"Kelowna, B.C."
Family Pet Hospital & 24 Hour Pet Emergency Centre,NVA,"Lethbridge, Alta."
Forest Hill Animal Clinic,NVA,Toronto
Fundy Veterinarians – Shubenacadie,NVA,"Shubenacadie East, N.S."
Fundy Veterinarians – Truro,NVA,"Murray Siding, N.S."
Gananoque Veterinary Clinic,NVA,"Gananoque, Ont."
Golden Veterinary Services,NVA,"Golden, B.C."
Grand River Veterinary Hospital,NVA,"Caledonia, Ont."
Grenville-Dundas Veterinary Clinic,NVA,"Kemptville, Ont."
Hermitage Veterinary Hospital,NVA,Edmonton
Heubner-Ridder Veterinary Hospital,NVA,"Goderich, Ont."
Highway 24 Veterinary Clinic,NVA,"Guelph, Ont."
Humber Veterinary Clinic,NVA,"Corner Brook, N.L."
Huntsville Animal Hospital,NVA,"Huntsville, Ont."
Invermere Veterinary Hospital,NVA,"Invermere, B.C."
Island City Animal Hospital,NVA,"Brockville, Ont."
Islington Village Animal Hospital,NVA,"Etobicoke, Ont."
Juan De Fuca Veterinary Clinic,NVA,Victoria
Kemptville Animal Hospital,NVA,"Kemptville, Ont."
Langley Animal Clinic,NVA,"Langley, B.C."
LeGallais Veterinary Hospital,NVA,"Aurora, Ont."
Lindsey Veterinary Hospital,NVA,"Penticton, B.C."
Liston Animal Hospital,NVA,"Kanata, Ont."
Mahogany Veterinary Clinic,NVA,Calgary
Manning Equine Veterinary Services,NVA,"Orton, Ont."
Manotick Veterinary Hospital,NVA,"Manotick, Ont."
Maritime Veterinary Emergency and Specialty Centre,NVA,"Dartmouth, N.S."
Martensville Veterinary Hospital,NVA,"Martensville, Sask."
Martindale Animal Clinic,NVA,"St. Catharines, Ont."
McGilvray Veterinary Hospital,NVA,Toronto
Mississauga Animal Hospital,NVA,"Mississauga, Ont."
Mitchell Animal Hospital,NVA,"Kitchener, Ont."
Morgan Animal Hospital,NVA,"Niagara Falls, Ont."
Mount Brydges Animal Clinic,NVA,"Caradoc, Ont."
Mountainside 24/7 Animal Emergency,NVA,"North Vancouver, B.C."
Navan Veterinary Services,NVA,"Navan, Ont."
New Glasgow Veterinary Clinic,NVA,"New Glasgow, N.S."
Newcastle Veterinary Clinic,NVA,"Newcastle, Ont."
North Bay Animal Hospital,NVA,"North Bay, Ont."
Oakpark Pet Hospital,NVA,"Oakville, Ont."
Okanagan Veterinary Hospital,NVA,"Kelowna, B.C."
Park Veterinary Centre,NVA,"Sherwood Park, Alta."
Parkhill Animal Hospital,NVA,"Peterborough, Ont."
Pictou Veterinary Clinic,NVA,"Pictou, N.S."
Piper Creek Veterinary Clinic,NVA,"Deer County, Alta."
Plessis Veterinary Hospital,NVA,Winnipeg
Port Hope Veterinary Hospital,NVA,"Port Hope, Ont."
Prescott Animal Hospital,NVA,"Prescott, Ont."
Preston Animal Clinic,NVA,"Cambridge, Ont."
Prince of Wales Animal Hospital,NVA,Ottawa
Queen West Animal Hospital,NVA,Toronto
Rideau St. Lawrence Veterinary Hospital,NVA,"Prescott, Ont."
Riverside Small Animal Hospital,NVA,"Kamloops, B.C."
Romeo Pet Hospital,NVA,"Stratford, Ont."
Rose Valley Veterinary Hospital,NVA,"West Kelowna, B.C."
Russell Equine,NVA,"Russell, Ont."
Sherwood Park Animal Hospital,NVA,"Beaconsfield, Que."
Sherwood Veterinary Clinic,NVA,"Sherwood Park, Alta."
South Mission Animal Hospital,NVA,"Kelowna, B.C."
South Okanagan Animal Care Center,NVA,"Penticton, B.C."
South Ridge Veterinary Clinic,NVA,"South, Ont."
South Saskatchewan Animal Hospital,NVA,Regina
Southfort Veterinary Clinic,NVA,"Fort Saskatchewan, Alta."
SouthPaw Animal Hospital,NVA,Fredericton
St. Catharines Animal Hospital,NVA,"St. Catharines, Ont."
Stone Church Animal Clinic,NVA,Hamilton
Summerland Animal Clinic,NVA,"Summerland, B.C."
Summerside Animal Hospital,NVA,"Summerside, P.E.I."
Sunset Strip Veterinary Clinic,NVA,"Owen Sound, Ont."
Thicketwood Veterinary Hospital,NVA,"Stouffville, Ont."
Thornbury Veterinary Hospital,NVA,"Thornbury, Ont."
Thousand Islands Veterinary Services,NVA,"Gananoque, Ont."
Three Island Veterinary Services,NVA,"Bobcaygeon, Ont."
Town Centre Veterinary Hospital,NVA,Edmonton
Tsawwassen Animal Hospital,NVA,"Delta, B.C."
Upper Canada Animal Hospital,NVA,"Niagara-on-the-Lake, Ont."
Uxbridge Veterinary Hospital,NVA,"Uxbridge, Ont."
Valley Veterinary Hospital,NVA,Fredericton
Vernon Veterinary Clinic,NVA,"Vernon, B.C."
Veterinary Emergency Hospital of West Toronto,NVA,"Mississauga, Ont."
Village Cat Clinic,NVA,"Ancaster, Ont."
Village Veterinary Clinic,NVA,"Russell, Ont."
Wallaceburg Animal Hospital,NVA,"Wallaceburg, Ont."
Westbank Animal Care Hospital,NVA,"Westbank, B.C."
Westhills Veterinary Clinic,NVA,Calgary
Westview Veterinary Hospital,NVA,"Powell River, B.C."
Westview Veterinary Services,NVA,"North Vancouver, B.C."
Williamstown Veterinary Services,NVA,"Williamstown, Ont."
Woodbine Animal Clinic,NVA,Toronto
4 Paws 24 Hour Veterinary Hospital (PetFocus),Vet Strategy,Halifax
Abbey Animal Hospital,Vet Strategy,"Oakville, Ont."
Acadia Drive Animal Clinic,Vet Strategy,Calgary
Acadia Veterinary Hospital,Vet Strategy,"Dieppe, N.B."
Airdrie Animal Health Centre,Vet Strategy,"Airdrie, Alta."
Airport Animal Hospital,Vet Strategy,"North Bay, Ont."
Ajax Animal Hospital,Vet Strategy,"Ajax, Ont."
Albert North Veterinary Clinic,Vet Strategy,Regina
Alcona Animal Hospital,Vet Strategy,"Innisfil, Ont."
Aldergrove Animal Hospital,Vet Strategy,"Aldergrove, B.C."
All About Cats,Vet Strategy,"North Vancouver, B.C."
Alouette Animal Hospital,Vet Strategy,"Maple Ridge, B.C."
Ambassador Animal Hospital,Vet Strategy,"Windsor, Ont."
Ambleside Animal Hospital,Vet Strategy,Vancouver
Amherstview Pet Hospital,Vet Strategy,"Amherstview, Ont."
Animal Emergency Clinic of Durham Region,Vet Strategy,"Whitby, Ont."
Animal Hospital of Cambridge,Vet Strategy,"Cambridge, Ont."
Animal Hospital of Oakville,Vet Strategy,"Oakville, Ont."
Animal Medical Centre (Sydney),Vet Strategy,"Sydney, N.S."
Animal Medical Centre North,Vet Strategy,"Grande Prairie, Alta."
Animal Medical Centre South,Vet Strategy,"Dunmore, Alta."
Annex Animal Hospital,Vet Strategy,Toronto
Antigonish Veterinary Clinic,Vet Strategy,"Antigonish, N.S."
Aspen Animal Hospital,Vet Strategy,Calgary
Aurora Animal Clinic,Vet Strategy,"Aurora, Ont."
Avon Animal Hospital,Vet Strategy,"Windsor, N.S."
Aylmer Veterinary Clinic,Vet Strategy,"Aylmer, Ont."
Baker Animal Clinic,Vet Strategy,"Whitby, Ont."
Bank Street Animal Hospital,Vet Strategy,Ottawa
Banner Road Veterinary Services,Vet Strategy,"Ingersoll, Ont."
Barriefield Animal Hospital,Vet Strategy,"Kingston, Ont."
Baxter Animal Hospital,Vet Strategy,"Sudbury, Ont."
Bay Cat Hospital | Bay Dog Hospital,Vet Strategy,Toronto
Bedford South Veterinary Hospital (PetFocus),Vet Strategy,"Bedford, N.S."
Beechwood Animal Hospital,Vet Strategy,Ottawa
Beechwood Veterinary Services,Vet Strategy,Ottawa
Big Rock Animal Clinic,Vet Strategy,"Okotoks, Alta."
Bloorcourt Veterinary Clinic,Vet Strategy,Toronto
Bow River Veterinary Centre,Vet Strategy,"Canmore, Alta."
Briarwood Animal Hospital,Vet Strategy,"Stoney Creek, Ont."
Bridgwater Veterinary Hospital and Wellness Centre,Vet Strategy,Winnipeg
Britannia Kingsland Veterinary Clinic,Vet Strategy,Calgary
Cabbagetown Pet Clinic,Vet Strategy,Toronto
Cambrian Animal Hospital,Vet Strategy,Calgary
Cambrian Animal Hospital,Vet Strategy,"Sudbury, Ont."
Campbell River Veterinary Hospital,Vet Strategy,"Campbell River, B.C."
Canmore Veterinary Hospital,Vet Strategy,"Canmore, Alta."
Carling Animal Hospital,Vet Strategy,Ottawa
Carstairs Veterinary Clinic,Vet Strategy,"Carstairs, Alta."
Carter Veterinary Hospital,Vet Strategy,"Bowmanville, Ont."
Cataraqui Pet Hospital,Vet Strategy,"Kingston, Ont."
Cavan Hills Veterinary Services,Vet Strategy,"Cavan, Ont."
Centennial Animal Hospital,Vet Strategy,Winnipeg
Centennial Animal Hospital,Vet Strategy,"Monck Drive, Ont."
Central Animal Hospital,Vet Strategy,"Kamloops, B.C."
Central Animal Hospital,Vet Strategy,"Vernon, B.C."
Central City Animal Clinic,Vet Strategy,"Burnaby, B.C."
Central Island Veterinary Emergency Hospital,Vet Strategy,"Nanaimo, B.C."
Centretown Veterinary Hospital,Vet Strategy,Ottawa
Champlain Animal Hospital,Vet Strategy,"Peterborough, Ont."
Chapman Mills Animal Hospital,Vet Strategy,"Nepean, Ont."
Chase River Veterinary Hospital,Vet Strategy,"Nanaimo, B.C."
Clappison Animal Hospital,Vet Strategy,Hamilton
Clarkson Village Animal Hospital,Vet Strategy,"Mississauga, Ont."
Clayton Park Veterinary Hospital (PetFocus),Vet Strategy,Halifax
Clearspring Animal Hospital,Vet Strategy,"Blumenort, Man."
Clearview Dog & Cat Hospital,Vet Strategy,"Red Deer, Alta."
Coastland Veterinary Hospital,Vet Strategy,"Campbell River, B.C."
Cobequid Animal Hospital,Vet Strategy,"Lower Sackville, N.S."
Cochrane Animal Clinic,Vet Strategy,"Cochrane, Alta."
College Manor Veterinary Hospital,Vet Strategy,"Newmarket, Ont."
Companion Animal Hospital,Vet Strategy,"Dartmouth, N.S."
Cornell Animal Hospital,Vet Strategy,"Guelph, Ont."
Cornerstone Square Veterinary Hospital,Vet Strategy,Calgary
Corydon Animal Hospital,Vet Strategy,Winnipeg
Cottonwood Veterinary Clinic,Vet Strategy,"Chilliwack, B.C."
Coxwell Animal Clinic,Vet Strategy,"East York, Ont."
Cranberry Hill Animal Hospital,Vet Strategy,"Kemptville, Ont."
Cranston Veterinary Hospital,Vet Strategy,Calgary
Cremona Veterinary Clinic,Vet Strategy,"Cremona, Alta."
Crossroads Animal Hospital,Vet Strategy,"Medicine Hat, Alta."
Crossroads Veterinary Clinic,Vet Strategy,"Rosslyn, Ont."
Cumberland Veterinary Clinic,Vet Strategy,Saskatoon
Dartmouth Veterinary Hospital (PetFocus),Vet Strategy,"Dartmouth, N.S."
Davisville Park Animal Hospital,Vet Strategy,Toronto
Deep River Animal Services,Vet Strategy,"Deep River, Ont."
Deer Park Pet Hospital,Vet Strategy,"Red Deer, Alta."
Delton Veterinary Hospital,Vet Strategy,Edmonton
Didsbury Veterinary Services,Vet Strategy,"Didsbury, Alta."
Don Head Village Animal Clinic,Vet Strategy,"Richmond Hill, Ont."
Downtown Animal Hospital,Vet Strategy,"Kingston, Ont."
Dresden Veterinary Clinic,Vet Strategy,"Dresden, Ont."
Dundas Euclid Animal Hospital,Vet Strategy,Toronto
Dundas Veterinary Services,Vet Strategy,"Winchester, Ont."
Dundas West Animal Hospital,Vet Strategy,Toronto
Eagle Rise Animal Hospital,Vet Strategy,Victoria
East Hill Dog & Cat Hospital,Vet Strategy,"Red Deer, Alta."
East Oshawa Animal Hospital,Vet Strategy,"Courtice, Ont."
Eastern Shore Veterinary Hospital (PetFocus),Vet Strategy,"Porters Lake, N.S."
Edgemont Veterinary Clinic,Vet Strategy,Calgary
Elgin Animal Hospital,Vet Strategy,"Thomas, Ont."
Elizabeth Street Pet Hospital (ESPH),Vet Strategy,"Okotoks, Alta."
Elmvale Veterinary Hospital,Vet Strategy,"Elmvale, Ont."
Elmwood Veterinary Hospital,Vet Strategy,"Moncton, N.B."
Embrun Veterinary Hospital,Vet Strategy,"Embrun, Ont."
Etobicoke Veterinary Hospital,Vet Strategy,"Etobicoke, Ont."
Fairmont Animal Hospital,Vet Strategy,"London, Ont."
Fairview Animal Hospital,Vet Strategy,Halifax
Fifth Avenue Veterinary Clinic,Vet Strategy,"Orangeville, Ont."
Fish Creek Pet Hospital,Vet Strategy,Calgary
Fort Garry Veterinary Hospital,Vet Strategy,Winnipeg
Fraser Valley Animal Hospital,Vet Strategy,"Abbotsford, B.C."
Fredericton Animal Hospital,Vet Strategy,Fredericton
Front Street Animal Hospital,Vet Strategy,Toronto
Ganaraska Animal Clinic,Vet Strategy,"Port Hope, Ont."
Gander Veterinary Clinic,Vet Strategy,"Gander, N.L."
Gateway Pet Hospital,Vet Strategy,"Kitchener, Ont."
Georgetown Animal Clinic,Vet Strategy,"Georgetown, Ont."
Gillies Grove Animal Hospital,Vet Strategy,"Arnprior, Ont."
Glenora Family Pet Clinic,Vet Strategy,Edmonton
Glenview Animal Hospital,Vet Strategy,Victoria
Golf Glen Veterinary Clinic,Vet Strategy,"Aurora, Ont."
Grand Valley Animal Hospital,Vet Strategy,"Brandon, Man."
Gravenhurst Veterinary Services,Vet Strategy,"Gravenhurst, Ont."
Gray Street Veterinary Services,Vet Strategy,"Espanola, Ont."
Greenboro Veterinary Clinic,Vet Strategy,Ottawa
Green Lane Animal Hospital,Vet Strategy,"Thornhill, Ont."
Grimsby Animal Hospital,Vet Strategy,"Grimsby, Ont."
Guildford Animal Hospital,Vet Strategy,"Surrey, B.C."
Halifax Veterinary Hospital,Vet Strategy,Halifax
Harbour Cities Veterinary Hospital (PetFocus),Vet Strategy,"Dartmouth, N.S."
Hartzel Animal Hospital,Vet Strategy,"St. Catharines, Ont."
Headon Forest Animal Hospital,Vet Strategy,"Burlington, Ont."
Hillcrest Animal Hospital,Vet Strategy,"Trenton, Ont."
Hillside Veterinary Hospital,Vet Strategy,Victoria
Holland Landing Animal Hospital,Vet Strategy,"Holland Landing, Ont."
Huronia Veterinary Emergency Clinic,Vet Strategy,"Barrie, Ont."
Island Veterinary Hospital,Vet Strategy,"Richmond, B.C."
Jane Animal Hospital,Vet Strategy,Toronto
Kamloops Veterinary Clinic,Vet Strategy,"Kamloops, B.C."
Kawartha Veterinary Emergency Clinic (KVEC),Vet Strategy,"Peterborough, Ont."
Kennedy Heights Animal & Bird Hospital,Vet Strategy,"Surrey, B.C."
Killarney Cat Hospital,Vet Strategy,Calgary
Kingston Napanee Spay Neuter Clinic,Vet Strategy,"Kingston, Ont."
Kingston Road Animal Hospital,Vet Strategy,Toronto
Kingston Veterinary Clinic,Vet Strategy,"Kingston, Ont."
Kingston West Veterinary Hospital,Vet Strategy,"Kingston, Ont."
Komoka-Kilworth Animal Clinic,Vet Strategy,"Komoka, Ont."
Lakeshore Animal Health Partners (AHP),Vet Strategy,"Mississauga, Ont."
Langdon Veterinary Clinic,Vet Strategy,"Langdon, Alta."
Lauzon Veterinary Hospital,Vet Strategy,"Windsor, Ont."
Leaside Animal Clinic,Vet Strategy,Toronto
Lennox & Addington Animal Hospital,Vet Strategy,"Napanee, Ont."
Leslieville Animal Hospital,Vet Strategy,Toronto
Lessard Callingwood Veterinary Hospital,Vet Strategy,Edmonton
Limestone City Animal Hospital,Vet Strategy,"Kingston, Ont."
Little Creek Veterinary Clinic,Vet Strategy,Calgary
Lockerby Animal Hospital,Vet Strategy,"Sudbury, Ont."
Lomsnes Veterinary Hospital,Vet Strategy,"Red Deer, Alta."
Manitou Animal Hospital,Vet Strategy,"Kitchener, Ont."
Manzini Animal Hospital,Vet Strategy,"Port Alberni, B.C."
Mayfield Veterinary Clinic,Vet Strategy,"Dufferin, N.B."
McKenzie Veterinary Services,Vet Strategy,Victoria
McKnight Veterinary Hospital,Vet Strategy,Calgary
McLean Animal Hospital,Vet Strategy,"Scarborough, Ont."
McPhillips Animal Hospital,Vet Strategy,Winnipeg
Merritt Animal Hospital,Vet Strategy,"Chatham, Ont."
Mill Bay Veterinary Hospital,Vet Strategy,"Mill Bay, B.C."
Mill Creek Animal Hospital,Vet Strategy,Edmonton
Mission Ridge Animal Hospital,Vet Strategy,"St Albert, Alta."
Mohns Avenue Veterinary Services,Vet Strategy,"Petawawa, Ont."
Moncton Animal Hospital,Vet Strategy,"Moncton, N.B."
Mono Veterinary Clinic,Vet Strategy,"Mono, Ont."
Montgomery Village Veterinary Clinic,Vet Strategy,Calgary
Morinville Veterinary Clinic,Vet Strategy,"Morinville, Alta."
Morrisburg Animal Hospital,Vet Strategy,"Morrisburg, Ont."
Mountain Road Animal Hospital,Vet Strategy,"Moncton, N.B."
Mountain View Veterinary Hospital,Vet Strategy,"Street Surrey, B.C."
Muskoka Animal Hospital,Vet Strategy,"Huntsville, Ont."
Nepean Animal Hospital,Vet Strategy,"Nepean, Ont."
North Hill Animal Hospital,Vet Strategy,"Bolton, Ont."
North Oakville Animal Hospital,Vet Strategy,"Oakville, Ont."
North Town Veterinary Hospital,Vet Strategy,"Brampton, Ont."
Northside Animal Hospital,Vet Strategy,"North Sydney, N.S."
Nottawasaga Valley Veterinary Hospital,Vet Strategy,"Alliston, Ont."
Oakbank Animal Hospital,Vet Strategy,"Oakbank, Man."
Oceanside Animal Hospital,Vet Strategy,"Parksville, B.C."
Onoway Veterinary Clinic,Vet Strategy,"Onoway, Alta."
